,,Sistema Integrado de Gestión,,,Revisión 8,R-SIG-GVP 01,
,,,,,,,
,,REGISTRO DE CONTROL DE VIDRIOS Y PLÁSTICOS,,,Fecha: 02/04/2026,Páginas 1 de 3,
,,,,,,,
,15,Cocina,Porta papel,Plástico,,,
,16,Depósito,Ventana sup-puerta,Vidrio,,,
,17,Depósito,Caja de termicas,Plástico,,,
,18,Baños-Vestuarios,Ventana sup-puerta,Vidrio,,,
,19,Baños-Vestuarios,Dispenser Jabón,Plástico,,,
,20,Baños-Vestuarios,Porta papel,Plástico,,,
,21,Baños-Vestuarios,Porta papel higiénico,Plástico,,,
,22,Baños-Vestuarios,Porta papel higiénico,Plástico,,,
,23,Baños-Vestuarios,Vidrio sup-puerta,Vidrio,,,
,24,Baños-Vestuarios,Dispenser Jabón,Plástico,,,
,25,Baños-Vestuarios,Porta papel,Plástico,,,
,26,Baños-Vestuarios,Papel higiénico,Plástico,,,
,27,Baños-Vestuarios,Espejo,Vidrio,,,
,28,Baños-Vestuarios,Espejo ,Vidrio,,,
"Nota: Estado: se debe colocar una tilde en caso de que esté OK o una cruz en caso de rotura. En observaciones: Se debe aclarar solo en caso de rotura, detallando: Rajado o Roto. ",,,,,,,
Realizó,,,Revisó,,Aprobó,,
"Jefe de Pre-requisitos: Natacha Fernández
Fecha: 02/04/2026",,,"Administrativo de SGCIA: Carolina Serassio 
Fecha: 02/04/2026",,"Responsable de SGCIA: Mayra Dip
Fecha: 02/04/2026",,
,,,,,,,
,,,,,,,
,,,,,,, 
